Country,Year,fertility,life,population,child_mortality,gdp,region
Kyrgyzstan,2000,2.674,66.232,4954850,NA,NA,Europe & Central Asia
Laos,2000,4.19,61.68899999999999,5317060,NA,NA,East Asia & Pacific
Latvia,2000,1.178,70.16,2384972,17.2,10859,Europe & Central Asia
Lebanon,2000,2.226,74.40899999999999,3742329,20,12335,Middle East & North Africa
Lesotho,2000,4.0889999999999995,47.265,1963878,106,1629,Sub-Saharan Africa
Liberia,2000,5.88,52.424,2847290,181.8,473,Sub-Saharan Africa
Libya,2000,3.052,71.872,5231189,28.1,22682,Middle East & North Africa
Lithuania,2000,1.338,72.18,3500028,11.8,12484,Europe & Central Asia
Luxembourg,2000,1.695,77.82,435491,4.8,81425,Europe & Central Asia
"Macao, China",2000,0.939,77.627,431867,9.82,40091,East Asia & Pacific
"Macedonia, FYR",2000,1.6780000000000002,73.244,2009091,16,8543,Europe & Central Asia
Madagascar,2000,5.547999999999999,58.485,15364272,109.2,1446,Sub-Saharan Africa
Malawi,2000,6.254,46.04,11228756,172.8,632,Sub-Saharan Africa
Malaysia,2000,2.825,72.81,23414909,10.2,15695,East Asia & Pacific
Maldives,2000,3.2710000000000004,69.279,273236,44.4,7134,South Asia
Mali,2000,6.836,49.06100000000001,11295324,219.6,1269,Sub-Saharan Africa
Malta,2000,1.5930000000000002,77.36399999999999,397420,7.8,25841,Europe & Central Asia
Martinique,2000,1.939,78.191,385349,11.19,NA,America
Mauritania,2000,5.381,59.729,2642743,113.5,2738,Sub-Saharan Africa
Mauritius,2000,1.994,71.202,1196027,18.6,11349,Sub-Saharan Africa
Mayotte,2000,4.587,75.687,148753,10.48,NA,Sub-Saharan Africa
Mexico,2000,2.659,74.38,99959594,25.6,14704,America
"Micronesia, Fed. Sts.",2000,4.3,67.3,107103,53.9,3167,East Asia & Pacific
Moldova,2000,1.568,67.007,4106736,31.4,2329,Europe & Central Asia
Mongolia,2000,2.144,62.876000000000005,2411369,62.7,4655,East Asia & Pacific
Montenegro,2000,1.815,74.125,632606,13.8,9803,Europe & Central Asia
Morocco,2000,2.698,68.22,28793236,50,4430,Middle East & North Africa
Mozambique,2000,5.782,47.472,18200656,168,583,Sub-Saharan Africa
Myanmar,2000,2.428,62.073,44957660,82.3,2069,East Asia & Pacific
Namibia,2000,4.033,55.173,1895839,71.4,6111,Sub-Saharan Africa
Nepal,2000,4.0680000000000005,62.055,24400606,80.6,1577,South Asia
Netherlands,2000,1.72,78.24,15862825,6.2,41771,Europe & Central Asia
Netherlands Antilles,2000,2.1,74.648,179769,NA,NA,America
New Caledonia,2000,2.393,73.457,211965,22.09,NA,East Asia & Pacific
New Zealand,2000,1.97918,78.9,3858032,7.4,27963,East Asia & Pacific
Nicaragua,2000,3.2510000000000003,69.682,5073704,40.3,3424,America
Niger,2000,7.725,50.692,10922421,227.3,778,Sub-Saharan Africa
Nigeria,2000,6.099,46.629,123688536,186.8,2836,Sub-Saharan Africa
Norway,2000,1.85,78.76,4490859,4.9,58699,Europe & Central Asia
Oman,2000,3.72,72.139,2264163,16.6,45472,Middle East & North Africa
Pakistan,2000,4.474,63.854,144522192,112.3,3366,South Asia
Panama,2000,2.821,75.094,2956126,26,9954,America
Papua New Guinea,2000,4.507,58.748999999999995,5378824,78.5,1856,East Asia & Pacific
Paraguay,2000,3.677,70.07300000000001,5343539,33.5,6031,America
Peru,2000,2.929,70.506,25861887,38.6,6485,America
Philippines,2000,3.813,66.774,77309965,39.7,4243,East Asia & Pacific
Poland,2000,1.336,73.91,38302444,9.3,14565,Europe & Central Asia
Portugal,2000,1.4680000000000002,76.84,10336209,7.2,26147,Europe & Central Asia
Puerto Rico,2000,1.897,75.828,3814353,11.35,32484,America
Qatar,2000,3.241,76.68,590957,12.4,112238,Middle East & North Africa
Reunion,2000,2.384,76.077,738984,10.48,NA,Sub-Saharan Africa
Romania,2000,1.274,70.47,22191683,26.9,9970,Europe & Central Asia
Russia,2000,1.196,65.38,146757517,23.2,13173,Europe & Central Asia
Rwanda,2000,5.897,47.6425,8098344,179,764,Sub-Saharan Africa
Saint Lucia,2000,2.313,71.456,157108,NA,NA,America
Saint Vincent and the Grenadines,2000,2.379,70.6,107891,NA,NA,America
Samoa,2000,4.503,69.344,176549,21.7,4326,East Asia & Pacific
Sao Tome and Principe,2000,4.687,63.336000000000006,141010,89.3,2157,Sub-Saharan Africa
Saudi Arabia,2000,3.99,72.40100000000001,20045276,22.9,37531,Middle East & North Africa
Senegal,2000,5.561,57.817,9505862,134.9,1916,Sub-Saharan Africa
Serbia,2000,1.642,72.072,10133561,12.6,7741,Europe & Central Asia
Seychelles,2000,2.1519999999999997,71.771,78685,14.3,18453,Sub-Saharan Africa
Sierra Leone,2000,5.92,38.123000000000005,4143115,235.8,1006,Sub-Saharan Africa
Singapore,2000,1.6,78.34,3919300,4,51663,East Asia & Pacific
Slovak Republic,2000,1.274,73.19,5404845,11.8,15242,Europe & Central Asia
Slovenia,2000,1.214,76.11,1985406,5.5,22488,Europe & Central Asia
Solomon Islands,2000,4.72,62.808,408732,33.1,1731,East Asia & Pacific
Somalia,2000,7.61,50.902,7399033,174.4,603,Sub-Saharan Africa
South Africa,2000,2.866,55.892,44760380,74,9927,Sub-Saharan Africa
South Sudan,2000,6.132999999999999,49.248000000000005,6994624,182.3,2684,Sub-Saharan Africa
Spain,2000,1.224,79.34,40288457,6.5,30647,Europe & Central Asia
Sri Lanka,2000,2.237,71.078,18745084,16.3,4946,South Asia
Sudan,2000,5.444,57.979,27193105,105.9,2258,Sub-Saharan Africa
Suriname,2000,2.739,67.851,466846,34.4,9908,America
Swaziland,2000,4.209,48.68899999999999,1063832,109.5,5257,Sub-Saharan Africa
Sweden,2000,1.5590000000000002,79.84,8860153,4.1,36816,Europe & Central Asia
Switzerland,2000,1.4369999999999998,79.99,7167908,5.6,49083,Europe & Central Asia
Syria,2000,3.958,73.316,15988534,23.4,5188,Middle East & North Africa
Taiwan,2000,1.68,76.02,22183000,NA,34205,East Asia & Pacific
Tajikistan,2000,3.954,63.57,6172807,93,1186,Europe & Central Asia
Tanzania,2000,5.689,50.01,34038161,128.4,1488,Sub-Saharan Africa
Thailand,2000,1.676,70.921,63155029,22.5,8939,East Asia & Pacific
Timor-Leste,2000,7.112,59.468,830089,110.2,1322,East Asia & Pacific
Togo,2000,5.287999999999999,53.585,4793504,120.8,1305,Sub-Saharan Africa
Tonga,2000,4.25,70.81,97935,17.6,4605,East Asia & Pacific
Trinidad and Tobago,2000,1.753,68.533,1292058,28.7,17721,America
Tunisia,2000,2.114,73.15899999999999,9456117,31.7,7464,Middle East & North Africa
Turkey,2000,2.454,70.01,63627862,39.6,13025,Europe & Central Asia
Turkmenistan,2000,2.8369999999999997,63.925,4501419,81.6,5351,Europe & Central Asia
Uganda,2000,6.865,48.126000000000005,24213120,145.4,1042,Sub-Saharan Africa
Ukraine,2000,1.139,67.79,48891792,18.5,4809,Europe & Central Asia
United Arab Emirates,2000,2.6439999999999997,74.163,3033491,11.1,108048,Middle East & North Africa
United Kingdom,2000,1.675,78.04,58874117,6.6,32543,Europe & Central Asia
United States,2000,2.0540000000000003,76.8,282496310,8.4,45986,America
Uruguay,2000,2.2430000000000003,74.777,3319066,16.8,12876,America
Uzbekistan,2000,2.742,66.999,24775610,63.2,2471,Europe & Central Asia
Vanuatu,2000,4.368,67.438,185074,28.5,2823,East Asia & Pacific
Venezuela,2000,2.822,72.432,24348304,21.7,14461,America
Vietnam,2000,1.983,73.777,78758010,33.8,2650,East Asia & Pacific
Virgin Islands (U.S.),2000,2.1,77.574,108511,14.21,NA,America
West Bank and Gaza,2000,5.404,70.929,3198560,29.8,4206,Middle East & North Africa
Western Sahara,2000,2.957,62.636,315340,78.51,NA,Middle East & North Africa
"Yemen, Rep.",2000,6.3629999999999995,60.404,17723186,NA,NA,Middle East & North Africa
Zambia,2000,6.071000000000001,41.802,10201562,160,2202,Sub-Saharan Africa
Zimbabwe,2000,4.069,43.976000000000006,12509477,88.7,2521,Sub-Saharan Africa
Åland,2000,NA,80,25776,NA,NA,Europe & Central Asia
