Período,Categoría Ocupacional,Valor
41699,Empleo asalariado en el sector público,2786.489
41699,Empleo en casas particulares,451.261
41699,Trabajo Independientes Autónomos,422.464
41699,Trabajo Independientes Monotributo,1462.85
41699,"Trabajo Independientes Monotributo
Social",300.505
41699,Total,11550.622
41730,Empleo asalariado en el sector privado,6096.44
41730,Empleo asalariado en el sector público,2852.608
41730,Empleo en casas particulares,452.702
41730,Trabajo Independientes Autónomos,422.42
41730,Trabajo Independientes Monotributo,1466.967
41730,"Trabajo Independientes Monotributo
Social",304.115
41730,Total,11595.251999999999
41760,Empleo asalariado en el sector privado,6076.792
41760,Empleo asalariado en el sector público,2878.588
41760,Empleo en casas particulares,455.54
41760,Trabajo Independientes Autónomos,420.404
41760,Trabajo Independientes Monotributo,1473.127
41760,"Trabajo Independientes Monotributo
Social",306.66
41760,Total,11611.111000000003
41791,Empleo asalariado en el sector privado,6075.213
41791,Empleo asalariado en el sector público,2909.724
41791,Empleo en casas particulares,460.072
41791,Trabajo Independientes Autónomos,416.338
41791,Trabajo Independientes Monotributo,1479.749
41791,"Trabajo Independientes Monotributo
Social",310.057
41791,Total,11651.153
41821,Empleo asalariado en el sector privado,6080.495
41821,Empleo asalariado en el sector público,2901.133
41821,Empleo en casas particulares,462.915
41821,Trabajo Independientes Autónomos,415.268
41821,Trabajo Independientes Monotributo,1480.131
41821,"Trabajo Independientes Monotributo
Social",313.79
41821,Total,11653.732000000002
41852,Empleo asalariado en el sector privado,6076.87
41852,Empleo asalariado en el sector público,2905.859
41852,Empleo en casas particulares,463.33
41852,Trabajo Independientes Autónomos,414.221
41852,Trabajo Independientes Monotributo,1480.849
41852,"Trabajo Independientes Monotributo
Social",315.998
41852,Total,11657.126999999999
41883,Empleo asalariado en el sector privado,6097.036
41883,Empleo asalariado en el sector público,2928.337
41883,Empleo en casas particulares,462.957
41883,Trabajo Independientes Autónomos,412.426
41883,Trabajo Independientes Monotributo,1484.559
41883,"Trabajo Independientes Monotributo
Social",321.651
41883,Total,11706.965999999999
41913,Empleo asalariado en el sector privado,6128.903
41913,Empleo asalariado en el sector público,2940.668
41913,Empleo en casas particulares,462.648
41913,Trabajo Independientes Autónomos,409.613
41913,Trabajo Independientes Monotributo,1484.514
41913,"Trabajo Independientes Monotributo
Social",329.106
41913,Total,11755.451999999997
41944,Empleo asalariado en el sector privado,6145.246
41944,Empleo asalariado en el sector público,2963.705
41944,Empleo en casas particulares,459.576
41944,Trabajo Independientes Autónomos,407.57
41944,Trabajo Independientes Monotributo,1474.006
41944,"Trabajo Independientes Monotributo
Social",333.73
41944,Total,11783.833
41974,Empleo asalariado en el sector privado,6169.026
41974,Empleo asalariado en el sector público,2977.701
41974,Empleo en casas particulares,445.285
41974,Trabajo Independientes Autónomos,405.275
41974,Trabajo Independientes Monotributo,1452.972
41974,"Trabajo Independientes Monotributo
Social",337.971
41974,Total,11788.229999999998
42005,Empleo asalariado en el sector privado,6197.18
42005,Empleo asalariado en el sector público,2948.386
42005,Empleo en casas particulares,439.981
42005,Trabajo Independientes Autónomos,408.252
42005,Trabajo Independientes Monotributo,1439.653
42005,"Trabajo Independientes Monotributo
Social",341.952
42005,Total,11775.404
42036,Empleo asalariado en el sector privado,6215.585
42036,Empleo asalariado en el sector público,2946.084
42036,Empleo en casas particulares,439.403
42036,Trabajo Independientes Autónomos,413.121
42036,Trabajo Independientes Monotributo,1429.638
42036,"Trabajo Independientes Monotributo
Social",346.535
42036,Total,11790.365999999998
42064,Empleo asalariado en el sector privado,6228.762
42064,Empleo asalariado en el sector público,2943.737
42064,Empleo en casas particulares,439.236
42064,Trabajo Independientes Autónomos,409.452
42064,Trabajo Independientes Monotributo,1432.931
42064,"Trabajo Independientes Monotributo
Social",348.214
42064,Total,11802.332
42095,Empleo asalariado en el sector privado,6224.325
42095,Empleo asalariado en el sector público,2965.771
42095,Empleo en casas particulares,440.629
42095,Trabajo Independientes Autónomos,410.246
42095,Trabajo Independientes Monotributo,1433.379
42095,"Trabajo Independientes Monotributo
Social",349.428
42095,Total,11823.777999999998
42125,Empleo asalariado en el sector privado,6197.655
42125,Empleo asalariado en el sector público,2997.54
42125,Empleo en casas particulares,440.951
42125,Trabajo Independientes Autónomos,410.747
42125,Trabajo Independientes Monotributo,1439.336
42125,"Trabajo Independientes Monotributo
Social",351.245
42125,Total,11837.474
42156,Empleo asalariado en el sector privado,6216.048
42156,Empleo asalariado en el sector público,3032.831
42156,Empleo en casas particulares,441.957
42156,Trabajo Independientes Autónomos,410.657
42156,Trabajo Independientes Monotributo,1451.923
42156,"Trabajo Independientes Monotributo
Social",354.317
42156,Total,11907.733
42186,Empleo asalariado en el sector privado,6223.407
42186,Empleo asalariado en el sector público,3056.814
42186,Empleo en casas particulares,444.015
42186,Trabajo Independientes Autónomos,411.029
42186,Trabajo Independientes Monotributo,1454.479
42186,"Trabajo Independientes Monotributo
Social",354.94
42186,Total,11944.684
42217,Empleo asalariado en el sector privado,6234.44
42217,Empleo asalariado en el sector público,3066.395
42217,Empleo en casas particulares,445.466
42217,Trabajo Independientes Autónomos,410.427
42217,Trabajo Independientes Monotributo,1455.487
42217,"Trabajo Independientes Monotributo
Social",355.187
42217,Total,11967.402
42248,Empleo asalariado en el sector privado,6237.559
42248,Empleo asalariado en el sector público,3073.579
42248,Empleo en casas particulares,445.792
42248,Trabajo Independientes Autónomos,411.776
42248,Trabajo Independientes Monotributo,1457.814
42248,"Trabajo Independientes Monotributo
Social",355.755
42248,Total,11982.275
42278,Empleo asalariado en el sector privado,6262.833
42278,Empleo asalariado en el sector público,3096.694
42278,Empleo en casas particulares,445.574
42278,Trabajo Independientes Autónomos,410.752
42278,Trabajo Independientes Monotributo,1455.253
42278,"Trabajo Independientes Monotributo
Social",355.13
42278,Total,12026.236
42309,Empleo asalariado en el sector privado,6266.76
42309,Empleo asalariado en el sector público,3113.438
42309,Empleo en casas particulares,444.727
42309,Trabajo Independientes Autónomos,409.191
42309,Trabajo Independientes Monotributo,1453.259
42309,"Trabajo Independientes Monotributo
Social",354.643
42309,Total,12042.018000000002
42339,Empleo asalariado en el sector privado,6246.526
42339,Empleo asalariado en el sector público,3124.699
42339,Empleo en casas particulares,442.71
42339,Trabajo Independientes Autónomos,405.766
42339,Trabajo Independientes Monotributo,1446.308
42339,"Trabajo Independientes Monotributo
Social",352.947
42339,Total,12018.955999999998
42370,Empleo asalariado en el sector privado,6237.176
42370,Empleo asalariado en el sector público,3073.291
42370,Empleo en casas particulares,444.564
42370,Trabajo Independientes Autónomos,408.852
42370,Trabajo Independientes Monotributo,1443.829
42370,"Trabajo Independientes Monotributo
Social",355.03
42370,Total,11962.742000000002
42401,Empleo asalariado en el sector privado,6247.531
42401,Empleo asalariado en el sector público,3066.227
42401,Empleo en casas particulares,444.511
42401,Trabajo Independientes Autónomos,408.609
42401,Trabajo Independientes Monotributo,1440.19
42401,"Trabajo Independientes Monotributo
Social",355.706
42401,Total,11962.774000000001
42430,Empleo asalariado en el sector privado,6241.277
42430,Empleo asalariado en el sector público,3067.795
42430,Empleo en casas particulares,445.764
42430,Trabajo Independientes Autónomos,406.987
42430,Trabajo Independientes Monotributo,1441.639
42430,"Trabajo Independientes Monotributo
Social",356.967
42430,Total,11960.428999999998
42461,Empleo asalariado en el sector privado,6188.543
42461,Empleo asalariado en el sector público,3079.613
42461,Empleo en casas particulares,450.171
42461,Trabajo Independientes Autónomos,407.484
42461,Trabajo Independientes Monotributo,1448.036
42461,"Trabajo Independientes Monotributo
Social",357.671
42461,Total,11931.518
42491,Empleo asalariado en el sector privado,6152.616
42491,Empleo asalariado en el sector público,3096.813
42491,Empleo en casas particulares,452.162
42491,Trabajo Independientes Autónomos,415.617
42491,Trabajo Independientes Monotributo,1455.686
42491,"Trabajo Independientes Monotributo
Social",357.579
42491,Total,11930.473
42522,Empleo asalariado en el sector privado,6136.474
42522,Empleo asalariado en el sector público,3126.225
42522,Empleo en casas particulares,454.163
42522,Trabajo Independientes Autónomos,417.855
42522,Trabajo Independientes Monotributo,1472.388
42522,"Trabajo Independientes Monotributo
Social",358.722
42522,Total,11965.827
42552,Empleo asalariado en el sector privado,6135.345
42552,Empleo asalariado en el sector público,3114.366
42552,Empleo en casas particulares,456.111
42552,Trabajo Independientes Autónomos,417.165
42552,Trabajo Independientes Monotributo,1474.76
42552,"Trabajo Independientes Monotributo
Social",360.713
42552,Total,11958.460000000001
42583,Empleo asalariado en el sector privado,6146.284
42583,Empleo asalariado en el sector público,3116.876
42583,Empleo en casas particulares,457.393
42583,Trabajo Independientes Autónomos,416.847
42583,Trabajo Independientes Monotributo,1478.183
42583,"Trabajo Independientes Monotributo
Social",363.279
42583,Total,11978.862
42614,Empleo asalariado en el sector privado,6151.241
42614,Empleo asalariado en el sector público,3121.785
42614,Empleo en casas particulares,457.772
42614,Trabajo Independientes Autónomos,417.082
42614,Trabajo Independientes Monotributo,1484.971
42614,"Trabajo Independientes Monotributo
Social",367.538
42614,Total,12000.389000000001
42644,Empleo asalariado en el sector privado,6175.397
42644,Empleo asalariado en el sector público,3126.188
42644,Empleo en casas particulares,457.402
42644,Trabajo Independientes Autónomos,416.485
42644,Trabajo Independientes Monotributo,1489.758
42644,"Trabajo Independientes Monotributo
Social",376.064
42644,Total,12041.294
42675,Empleo asalariado en el sector privado,6200.06
42675,Empleo asalariado en el sector público,3136.944
42675,Empleo en casas particulares,457.126
42675,Trabajo Independientes Autónomos,414.994
42675,Trabajo Independientes Monotributo,1490.911
42675,"Trabajo Independientes Monotributo
Social",382.455
42675,Total,12082.490000000002
42705,Empleo asalariado en el sector privado,6206.518
42705,Empleo asalariado en el sector público,3156.944
42705,Empleo en casas particulares,456.555
42705,Trabajo Independientes Autónomos,411.625
42705,Trabajo Independientes Monotributo,1490.71
42705,"Trabajo Independientes Monotributo
Social",381.977
42705,Total,12104.329
42736,Empleo asalariado en el sector privado,6224.427
42736,Empleo asalariado en el sector público,3114.388
42736,Empleo en casas particulares,459.785
42736,Trabajo Independientes Autónomos,410.176
42736,Trabajo Independientes Monotributo,1507.949
42736,"Trabajo Independientes Monotributo
Social",380.582
42736,Total,12097.306999999999
42767,Empleo asalariado en el sector privado,6226.59
42767,Empleo asalariado en el sector público,3098.882
42767,Empleo en casas particulares,460.704
42767,Trabajo Independientes Autónomos,406.541
42767,Trabajo Independientes Monotributo,1522.655
42767,"Trabajo Independientes Monotributo
Social",380.456
42767,Total,12095.828
42795,Empleo asalariado en el sector privado,6248.45
42795,Empleo asalariado en el sector público,3091.019
42795,Empleo en casas particulares,460.08
42795,Trabajo Independientes Autónomos,400.439
42795,Trabajo Independientes Monotributo,1519.37
42795,"Trabajo Independientes Monotributo
Social",387.697
42795,Total,12107.055
42826,Empleo asalariado en el sector privado,6190.308
42826,Empleo asalariado en el sector público,3108.997
42826,Empleo en casas particulares,462.803
42826,Trabajo Independientes Autónomos,396.758
42826,Trabajo Independientes Monotributo,1520.005
42826,"Trabajo Independientes Monotributo
Social",388.414
42826,Total,12067.285
42856,Empleo asalariado en el sector privado,6188.84
42856,Empleo asalariado en el sector público,3134.373
42856,Empleo en casas particulares,465.283
42856,Trabajo Independientes Autónomos,397.65
42856,Trabajo Independientes Monotributo,1533.33
42856,"Trabajo Independientes Monotributo
Social",387.813
42856,Total,12107.288999999999
42887,Empleo asalariado en el sector privado,6193.17
42887,Empleo asalariado en el sector público,3157.87
42887,Empleo en casas particulares,465.61
42887,Trabajo Independientes Autónomos,398.267
42887,Trabajo Independientes Monotributo,1540.106
42887,"Trabajo Independientes Monotributo
Social",393.758
42887,Total,12148.781
42917,Empleo asalariado en el sector privado,6202.014
42917,Empleo asalariado en el sector público,3149.145
42917,Empleo en casas particulares,468.569
42917,Trabajo Independientes Autónomos,399.178
42917,Trabajo Independientes Monotributo,1550.805
42917,"Trabajo Independientes Monotributo
Social",399.979
42917,Total,12169.689999999999
42948,Empleo asalariado en el sector privado,6212.041
42948,Empleo asalariado en el sector público,3153.202
42948,Empleo en casas particulares,469.822
42948,Trabajo Independientes Autónomos,399.854
42948,Trabajo Independientes Monotributo,1570.571
42948,"Trabajo Independientes Monotributo
Social",399.664
42948,Total,12205.154
42979,Empleo asalariado en el sector privado,6221.484
42979,Empleo asalariado en el sector público,3165.682
42979,Empleo en casas particulares,471.671
42979,Trabajo Independientes Autónomos,401.369
42979,Trabajo Independientes Monotributo,1582.271
42979,"Trabajo Independientes Monotributo
Social",409.836
42979,Total,12252.313000000002
43009,Empleo asalariado en el sector privado,6255.264
43009,Empleo asalariado en el sector público,3169.486
43009,Empleo en casas particulares,472.926
43009,Trabajo Independientes Autónomos,404.541
43009,Trabajo Independientes Monotributo,1599.334
43009,"Trabajo Independientes Monotributo
Social",408.57
43009,Total,12310.121
43040,Empleo asalariado en el sector privado,6282.184
43040,Empleo asalariado en el sector público,3179.026
43040,Empleo en casas particulares,473.093
43040,Trabajo Independientes Autónomos,404.535
43040,Trabajo Independientes Monotributo,1598.816
43040,"Trabajo Independientes Monotributo
Social",412.518
43040,Total,12350.172
43070,Empleo asalariado en el sector privado,6296.864
43070,Empleo asalariado en el sector público,3201.175
43070,Empleo en casas particulares,472.437
43070,Trabajo Independientes Autónomos,403.622
43070,Trabajo Independientes Monotributo,1593.897
43070,"Trabajo Independientes Monotributo
Social",419.267
43070,Total,12387.261999999999
43101,Empleo asalariado en el sector privado,6309.334
43101,Empleo asalariado en el sector público,3168.449
43101,Empleo en casas particulares,477.176
43101,Trabajo Independientes Autónomos,405.287
43101,Trabajo Independientes Monotributo,1595.67
43101,"Trabajo Independientes Monotributo
Social",418.95
43101,Total,12374.866
43132,Empleo asalariado en el sector privado,6308.065
43132,Empleo asalariado en el sector público,3135.351
43132,Empleo en casas particulares,478.646
43132,Trabajo Independientes Autónomos,404.427
43132,Trabajo Independientes Monotributo,1594.605
43132,"Trabajo Independientes Monotributo
Social",423.45
43132,Total,12344.544
43160,Empleo asalariado en el sector privado,6322.588
43160,Empleo asalariado en el sector público,3128.163
43160,Empleo en casas particulares,479.653
43160,Trabajo Independientes Autónomos,400.277
43160,Trabajo Independientes Monotributo,1593.803
43160,"Trabajo Independientes Monotributo
Social",422.922
43160,Total,12347.406
43191,Empleo asalariado en el sector privado,6279.701
43191,Empleo asalariado en el sector público,3143.568
43191,Empleo en casas particulares,481.162
43191,Trabajo Independientes Autónomos,400.219
43191,Trabajo Independientes Monotributo,1596.03
43191,"Trabajo Independientes Monotributo
Social",417.185
43191,Total,12317.865
43221,Empleo asalariado en el sector privado,6251.076
43221,Empleo asalariado en el sector público,3154.119
43221,Empleo en casas particulares,481.189
43221,Trabajo Independientes Autónomos,399.764
43221,Trabajo Independientes Monotributo,1600.804
43221,"Trabajo Independientes Monotributo
Social",414.333
43221,Total,12301.285
43252,Empleo asalariado en el sector privado,6216.704
43252,Empleo asalariado en el sector público,3171.985
43252,Empleo en casas particulares,482.635
43252,Trabajo Independientes Autónomos,401.701
43252,Trabajo Independientes Monotributo,1606.964
43252,"Trabajo Independientes Monotributo
Social",404.968
43252,Total,12284.957000000002
43282,Empleo asalariado en el sector privado,6215.106
43282,Empleo asalariado en el sector público,3159.062
43282,Empleo en casas particulares,487.532
43282,Trabajo Independientes Autónomos,401.922
43282,Trabajo Independientes Monotributo,1606.353
43282,"Trabajo Independientes Monotributo
Social",343.524
43282,Total,12213.498999999998
43313,Empleo asalariado en el sector privado,6212.924
43313,Empleo asalariado en el sector público,3170.304
43313,Empleo en casas particulares,490.784
43313,Trabajo Independientes Autónomos,401.903
43313,Trabajo Independientes Monotributo,1609.538
43313,"Trabajo Independientes Monotributo
Social",346.569
43313,Total,12232.021999999999
43344,Empleo asalariado en el sector privado,6181.243
43344,Empleo asalariado en el sector público,3164.946
43344,Empleo en casas particulares,492.868
43344,Trabajo Independientes Autónomos,403.249
43344,Trabajo Independientes Monotributo,1615.725
43344,"Trabajo Independientes Monotributo
Social",345.805
43344,Total,12203.836000000001
43374,Empleo asalariado en el sector privado,6194.592
43374,Empleo asalariado en el sector público,3174.11
43374,Empleo en casas particulares,490.987
43374,Trabajo Independientes Autónomos,401.685
43374,Trabajo Independientes Monotributo,1577.672
43374,"Trabajo Independientes Monotributo
Social",349.414
43374,Total,12188.46
43405,Empleo asalariado en el sector privado,6182.767
43405,Empleo asalariado en el sector público,3176.555
43405,Empleo en casas particulares,490.364
43405,Trabajo Independientes Autónomos,401.538
43405,Trabajo Independientes Monotributo,1573.171
43405,"Trabajo Independientes Monotributo
Social",353.599
43405,Total,12177.994
43435,Empleo asalariado en el sector privado,6167.38
43435,Empleo asalariado en el sector público,3195.377
43435,Empleo en casas particulares,488.645
43435,Trabajo Independientes Autónomos,399.847
43435,Trabajo Independientes Monotributo,1566.903
43435,"Trabajo Independientes Monotributo
Social",361.004
43435,Total,12179.156
43466,Empleo asalariado en el sector privado,6179.231
43466,Empleo asalariado en el sector público,3155.838
43466,Empleo en casas particulares,492.519
43466,Trabajo Independientes Autónomos,403.547
43466,Trabajo Independientes Monotributo,1582.264
43466,"Trabajo Independientes Monotributo
Social",352.129
43466,Total,12165.528
43497,Empleo asalariado en el sector privado,6187.63
43497,Empleo asalariado en el sector público,3145.172
43497,Empleo en casas particulares,493.283
43497,Trabajo Independientes Autónomos,401.872
43497,Trabajo Independientes Monotributo,1596.128
43497,"Trabajo Independientes Monotributo
Social",344.529
43497,Total,12168.614
43525,Empleo asalariado en el sector privado,6177.311
43525,Empleo asalariado en el sector público,3136.216
43525,Empleo en casas particulares,493.426
43525,Trabajo Independientes Autónomos,396.693
43525,Trabajo Independientes Monotributo,1576.591
43525,"Trabajo Independientes Monotributo
Social",358.248
43525,Total,12138.484999999999
43556,Empleo asalariado en el sector privado,6126.454
43556,Empleo asalariado en el sector público,3164.348
43556,Empleo en casas particulares,495.812
43556,Trabajo Independientes Autónomos,395.23
43556,Trabajo Independientes Monotributo,1578.335
43556,"Trabajo Independientes Monotributo
Social",358.48
43556,Total,12118.659
43586,Empleo asalariado en el sector privado,6097.027
43586,Empleo asalariado en el sector público,3180.134
43586,Empleo en casas particulares,497.175
43586,Trabajo Independientes Autónomos,394.591
43586,Trabajo Independientes Monotributo,1585.064
43586,"Trabajo Independientes Monotributo
Social",355.112
43586,Total,12109.103
43617,Empleo asalariado en el sector privado,6070.263
43617,Empleo asalariado en el sector público,3199.996
43617,Empleo en casas particulares,496.721
43617,Trabajo Independientes Autónomos,394.896
43617,Trabajo Independientes Monotributo,1582.443
43617,"Trabajo Independientes Monotributo
Social",356.626
43617,Total,12100.945
43647,Empleo asalariado en el sector privado,6079.692
43647,Empleo asalariado en el sector público,3189.073
43647,Empleo en casas particulares,498.403
43647,Trabajo Independientes Autónomos,396.465
43647,Trabajo Independientes Monotributo,1595.982
43647,"Trabajo Independientes Monotributo
Social",350.896
43647,Total,12110.511
43678,Empleo asalariado en el sector privado,6071.154
43678,Empleo asalariado en el sector público,3192.26
43678,Empleo en casas particulares,499.778
43678,Trabajo Independientes Autónomos,402.815
43678,Trabajo Independientes Monotributo,1605.902
43678,"Trabajo Independientes Monotributo
Social",365.491
43678,Total,12137.400000000001
43709,Empleo asalariado en el sector privado,6041.85
43709,Empleo asalariado en el sector público,3208.574
43709,Empleo en casas particulares,500.79
43709,Trabajo Independientes Autónomos,403.084
43709,Trabajo Independientes Monotributo,1622.095
43709,"Trabajo Independientes Monotributo
Social",359.306
43709,Total,12135.699000000002
43739,Empleo asalariado en el sector privado,6039.439
43739,Empleo asalariado en el sector público,3218.932
43739,Empleo en casas particulares,501.319
43739,Trabajo Independientes Autónomos,400.689
43739,Trabajo Independientes Monotributo,1629.358
43739,"Trabajo Independientes Monotributo
Social",355.482
43739,Total,12145.219
43770,Empleo asalariado en el sector privado,6033.144
43770,Empleo asalariado en el sector público,3222.095
43770,Empleo en casas particulares,500.235
43770,Trabajo Independientes Autónomos,406.081
43770,Trabajo Independientes Monotributo,1620.946
43770,"Trabajo Independientes Monotributo
Social",365.126
43770,Total,12147.627
43800,Empleo asalariado en el sector privado,6020.703
43800,Empleo asalariado en el sector público,3249.054
